condition,drugName,Total_Reviews,Avg_Rating,Median_Rating,Positive_Reviews,Neutral_Reviews,Negative_Reviews,Total_Useful_Votes,Avg_Useful_Votes,Avg_Review_Word_Count,Satisfaction_Rate_Pct
Panic Disorde,Citalopram,43,7.72,9.0,34,2,7,1693,39.4,90.2,79.1
High Blood Pressure,Diovan,43,6.51,7.0,24,10,9,2780,64.7,57.0,55.8
"Asthma, Maintenance",Advair Diskus,43,8.07,9.0,36,2,5,1011,23.5,62.3,83.7
"Asthma, acute",Albuterol,43,3.81,2.0,12,3,28,412,9.6,64.4,27.9
Panic Disorde,Fluoxetine,43,8.16,10.0,36,1,6,2003,46.6,102.1,83.7
Birth Control,Safyral,43,6.09,6.0,20,15,8,279,6.5,87.3,46.5
Allergic Rhinitis,Triamcinolone,43,6.65,9.0,26,3,14,589,13.7,59.6,60.5
Underactive Thyroid,Synthroid,43,6.84,8.0,27,4,12,3658,85.1,74.5,62.8
Birth Control,Tri-Lo-Sprintec,43,4.51,3.0,14,7,22,170,4.0,104.4,32.6
Endometriosis,Ethinyl Estradiol / Norethindrone,43,6.47,7.0,26,7,10,350,8.1,91.3,60.5
Depression,St. John'S Wort,43,8.77,9.0,39,2,2,2951,68.6,105.8,90.7
"Asthma, Maintenance",Montelukast,43,6.23,9.0,23,4,16,1287,29.9,84.1,53.5
Dysuria,Phenazopyridine,43,6.16,8.0,26,2,15,709,16.5,62.7,60.5
Insomnia,Rozerem,43,4.93,4.0,19,4,20,1448,33.7,61.1,44.2
Bipolar Disorde,Vraylar,42,6.33,8.0,25,5,12,810,19.3,81.8,59.5
Birth Control,Microgestin Fe 1.5 / 30,42,6.31,7.0,23,11,8,219,5.2,109.0,54.8
Anxiety,Trazodone,42,7.93,9.0,35,3,4,3528,84.0,86.1,83.3
High Cholesterol,Crestor,42,6.48,7.5,22,10,10,2670,63.6,77.4,52.4
Epilepsy,Divalproex Sodium,42,7.33,8.0,31,5,6,723,17.2,70.8,73.8
Opiate Dependence,Vivitrol,42,7.95,9.5,33,4,5,2244,53.4,108.2,78.6
Allergic Rhinitis,Azelastine,42,8.1,10.0,33,3,6,700,16.7,72.2,78.6
"Diabetes, Type 2",Insulin Glargine,42,7.24,8.5,26,9,7,645,15.4,67.5,61.9
Depression,Xanax,42,9.17,10.0,39,2,1,3581,85.3,68.1,92.9
Pain,Celecoxib,42,7.5,9.0,32,2,8,1996,47.5,71.2,76.2
Migraine,Aspirin / Butalbital / Caffeine,42,8.21,9.0,36,1,5,748,17.8,65.0,85.7
HIV Infection,Emtricitabine / Rilpivirine / Tenofovir,42,8.31,9.0,36,3,3,582,13.9,91.1,85.7
Multiple Sclerosis,Ampyra,42,8.55,10.0,36,2,4,2860,68.1,78.6,85.7
Perimenopausal Symptoms,Clonidine,42,6.9,9.0,28,4,10,1563,37.2,83.6,66.7
Menorrhagia,Tranexamic Acid,42,8.38,9.0,37,2,3,1826,43.5,97.0,88.1
Migraine,Zomig,42,7.6,9.0,30,4,8,344,8.2,81.1,71.4
Bacterial Infection,Cephalexin,41,6.37,7.0,22,9,10,1183,28.9,79.6,53.7
Bipolar Disorde,Risperdal,41,7.0,8.0,29,5,7,1841,44.9,68.5,70.7
Panic Disorde,Lorazepam,41,8.95,9.0,38,2,1,1886,46.0,86.2,92.7
"Diabetes, Type 2",Empagliflozin,41,7.1,8.0,27,6,8,1321,32.2,88.3,65.9
HIV Infection,Cobicistat / Elvitegravir / Emtricitabine / Tenofovir Alafenamide,41,7.93,9.0,32,4,5,384,9.4,95.1,78.0
Osteoporosis,Teriparatide,41,6.15,8.0,22,5,14,3200,78.0,81.0,53.7
Sinusitis,Moxifloxacin,41,6.59,8.0,24,8,9,688,16.8,57.6,58.5
Insomnia,Ramelteon,41,4.76,3.0,18,2,21,1243,30.3,67.8,43.9
Post Traumatic Stress Disorde,Zoloft,41,7.46,8.0,31,3,7,1630,39.8,102.5,75.6
GERD,Lansoprazole,41,7.95,9.0,31,7,3,1042,25.4,62.6,75.6
Social Anxiety Disorde,Paxil,41,7.61,9.0,30,5,6,1534,37.4,100.5,73.2
Obesity,Meridia,41,8.15,9.0,32,6,3,1084,26.4,75.6,78.0
Tonsillitis/Pharyngitis,Azithromycin,41,6.41,7.0,23,7,11,763,18.6,62.0,56.1
Bowel Preparation,Bisacodyl,40,5.92,7.0,21,5,14,462,11.6,83.5,52.5
Cough,Codeine / Guaifenesin,40,6.05,6.0,19,8,13,876,21.9,47.9,47.5
Skin or Soft Tissue Infection,Clindamycin,40,6.55,8.0,23,7,10,692,17.3,78.0,57.5
Allergic Rhinitis,Zyrtec,40,7.08,8.0,28,3,9,863,21.6,52.6,70.0
Osteoarthritis,Celebrex,40,7.85,9.0,32,3,5,1994,49.8,66.0,80.0
Rhinitis,Fluticasone,40,7.6,9.0,29,4,7,736,18.4,52.9,72.5
Premenstrual Dysphoric Disorde,Yaz,40,7.22,9.0,29,2,9,923,23.1,89.9,72.5
Irritable Bowel Syndrome,Hyoscyamine,40,7.98,9.0,32,3,5,1218,30.4,78.8,80.0
High Blood Pressure,Azor,40,8.85,10.0,35,5,0,1012,25.3,71.6,87.5
"Diabetes, Type 2",Farxiga,40,5.03,5.0,13,11,16,775,19.4,63.4,32.5
Psoriatic Arthritis,Humira,40,7.38,9.0,27,6,7,1108,27.7,92.9,67.5
Major Depressive Disorde,Mirtazapine,40,6.82,8.0,25,5,10,1185,29.6,80.9,62.5
Bacterial Vaginitis,Clindamycin,40,6.35,7.0,22,8,10,669,16.7,62.2,55.0
Benign Prostatic Hyperplasia,Cialis,40,7.9,9.0,31,4,5,3250,81.2,89.7,77.5
Vitamin/Mineral Supplementation during Pregnancy/Lactation,"Multivitamin, Prenatal",40,8.48,9.5,33,4,3,246,6.2,37.6,82.5
Motion Sickness,Transderm-Scop,40,6.95,8.0,25,7,8,630,15.8,82.4,62.5
Epilepsy,Carbamazepine,40,7.02,9.0,28,2,10,504,12.6,52.8,70.0
ADHD,Focalin,40,6.9,8.0,26,6,8,1541,38.5,98.2,65.0
Generalized Anxiety Disorde,Effexor Xr,39,6.69,7.0,25,5,9,2098,53.8,98.7,64.1
Pain,Celebrex,39,8.1,9.0,33,3,3,2096,53.7,65.9,84.6
Psoriatic Arthritis,Otezla,39,4.95,5.0,13,13,13,900,23.1,95.3,33.3
Nausea/Vomiting,Phenergan,39,8.87,10.0,35,1,3,1045,26.8,52.9,89.7
Nausea/Vomiting,Compazine,39,3.44,1.0,10,2,27,642,16.5,76.9,25.6
"Diabetes, Type 2",Jardiance,39,6.36,8.0,24,4,11,1196,30.7,84.4,61.5
Benign Prostatic Hyperplasia,Tadalafil,39,7.87,9.0,31,3,5,2681,68.7,86.1,79.5
"COPD, Maintenance",Spiriva,39,6.85,8.0,22,11,6,2703,69.3,65.4,56.4
HIV Infection,Complera,39,8.21,9.0,33,3,3,579,14.8,95.0,84.6
Cluster Headaches,Verapamil,39,9.03,10.0,34,4,1,847,21.7,76.3,87.2
Ulcerative Colitis,Mesalamine,39,6.97,8.0,27,5,7,335,8.6,65.3,69.2
Birth Control,Loseasonique,39,5.44,5.0,16,10,13,213,5.5,90.1,41.0
Strep Throat,Amoxicillin / Clavulanate,39,6.36,7.0,22,6,11,602,15.4,75.8,56.4
Obsessive Compulsive Disorde,Luvox,39,8.1,9.0,30,6,3,2159,55.4,80.1,76.9
Supraventricular Tachycardia,Metoprolol,39,7.0,8.0,26,6,7,1613,41.4,98.5,66.7
Schizophrenia,Risperidone,39,5.64,7.0,20,7,12,832,21.3,60.3,51.3
Acne,Ortho Tri-Cyclen,39,5.64,6.0,19,6,14,511,13.1,106.0,48.7
Endometriosis,Medroxyprogesterone,38,5.87,7.0,22,2,14,829,21.8,113.2,57.9
Sinusitis,Avelox,38,6.05,7.5,20,7,11,675,17.8,62.8,52.6
Alcohol Withdrawal,Baclofen,38,8.89,10.0,35,1,2,1724,45.4,81.9,92.1
Urticaria,Cetirizine,38,7.24,9.0,27,3,8,916,24.1,74.7,71.1
Depression,Parnate,38,8.76,10.0,34,1,3,1240,32.6,86.7,89.5
Bipolar Disorde,Klonopin,38,8.68,9.0,36,0,2,1630,42.9,54.8,94.7
Depression,Amitriptyline,38,8.55,9.0,34,2,2,2407,63.3,75.5,89.5
Rosacea,Metronidazole,38,6.95,8.0,25,5,8,1066,28.1,56.8,65.8
"Ulcerative Colitis, Active",Lialda,38,7.74,9.0,30,2,6,984,25.9,86.6,78.9
Depression,Tranylcypromine,38,8.53,10.0,32,2,4,1150,30.3,79.8,84.2
Migraine,Reglan,38,4.24,2.0,14,1,23,484,12.7,107.1,36.8
Abnormal Uterine Bleeding,Seasonique,38,3.89,2.5,8,7,23,332,8.7,107.2,21.1
Melasma,Fluocinolone / Hydroquinone / Tretinoin,38,8.89,10.0,34,0,4,1186,31.2,80.7,89.5
Migraine,Maxalt-Mlt,38,8.97,10.0,36,0,2,379,10.0,64.1,94.7
Dietary Supplementation,Multivitamin,38,6.74,8.0,24,4,10,972,25.6,65.1,63.2
Diverticulitis,Flagyl,38,6.58,8.0,25,7,6,1913,50.3,80.6,65.8
Androgenetic Alopecia,Finasteride,38,5.68,7.0,21,3,14,872,22.9,85.3,55.3
High Blood Pressure,Norvasc,38,4.66,4.0,14,7,17,4215,110.9,60.9,36.8
Atrial Fibrillation,Metoprolol,37,6.08,7.0,21,6,10,1213,32.8,73.0,56.8
Pain,Flector Patch,37,7.35,8.0,28,3,6,588,15.9,61.7,75.7
Bronchitis,Levaquin,37,4.68,2.0,14,3,20,1080,29.2,63.1,37.8
Seizure Prevention,Topiramate,37,6.03,8.0,22,3,12,863,23.3,80.5,59.5
Narcolepsy,Amphetamine / Dextroamphetamine,37,8.76,9.0,35,0,2,1646,44.5,88.5,94.6
GERD,Ranitidine,37,7.95,9.0,32,0,5,1266,34.2,62.9,86.5
Multiple Sclerosis,Dalfampridine,37,8.41,9.0,30,4,3,2386,64.5,74.3,81.1
Hyperhidrosis,Oxybutynin,37,8.27,9.0,32,1,4,1291,34.9,102.8,86.5
Major Depressive Disorde,Effexor Xr,37,6.86,8.0,25,4,8,725,19.6,90.1,67.6
Osteoarthritis,Voltaren Gel,37,8.41,10.0,32,1,4,1904,51.5,67.8,86.5
Obsessive Compulsive Disorde,Prozac,37,8.32,9.0,32,3,2,2123,57.4,126.8,86.5
Depression,Fetzima,37,4.62,3.0,13,5,19,1253,33.9,90.5,35.1
Bipolar Disorde,Venlafaxine,37,6.86,8.0,26,2,9,819,22.1,68.2,70.3
Insomnia,Restoril,36,7.81,8.0,26,9,1,2300,63.9,68.1,72.2
Prevention of Bladder infection,Nitrofurantoin,36,7.11,10.0,24,1,11,1367,38.0,61.3,66.7
Constipation,Linaclotide,36,6.78,8.5,23,4,9,1162,32.3,74.7,63.9
Cough,Codeine / Promethazine,36,7.67,9.5,27,2,7,559,15.5,50.0,75.0
Cough,Guaifenesin,36,6.61,8.0,23,4,9,639,17.8,56.1,63.9
Rheumatoid Arthritis,Rituximab,36,7.89,9.0,29,3,4,1304,36.2,112.0,80.6
Post Traumatic Stress Disorde,Prazosin,36,7.53,9.0,27,2,7,1228,34.1,65.6,75.0
Irritable Bowel Syndrome,Amitiza,36,6.08,8.0,20,4,12,1240,34.4,80.5,55.6
Schizophrenia,Abilify,36,6.36,7.0,21,6,9,957,26.6,62.4,58.3
Major Depressive Disorde,Abilify,36,6.56,8.5,22,3,11,566,15.7,85.1,61.1
Abnormal Uterine Bleeding,Provera,36,4.67,4.0,12,8,16,1469,40.8,98.8,33.3
Migraine,Fiorinal,36,8.25,10.0,30,1,5,741,20.6,69.4,83.3
Gout,Allopurinol,36,7.92,9.0,30,0,6,1500,41.7,68.2,83.3
Pain,Demerol,36,9.42,10.0,35,1,0,1377,38.2,66.0,97.2
Allergic Rhinitis,Singulair,36,7.11,9.0,24,2,10,1827,50.8,77.2,66.7
Constipation,Linzess,36,7.19,8.5,24,5,7,1286,35.7,80.6,66.7
Major Depressive Disorde,Wellbutrin Xl,36,7.06,8.5,23,7,6,1752,48.7,101.4,63.9
Abnormal Uterine Bleeding,Sprintec,36,3.94,2.0,10,5,21,265,7.4,91.9,27.8
Prostate Cance,Leuprolide,36,6.36,8.0,20,7,9,1776,49.3,92.2,55.6
Interstitial Cystitis,Amitriptyline,35,8.6,9.0,31,2,2,1167,33.3,84.1,88.6
Binge Eating Disorde,Lisdexamfetamine,35,7.26,8.0,24,6,5,1051,30.0,112.6,68.6
Irritable Bowel Syndrome,Lubiprostone,35,6.43,8.0,22,3,10,1158,33.1,81.6,62.9
Pneumonia,Levaquin,35,4.6,3.0,13,2,20,1135,32.4,60.8,37.1
Chronic Pain,Belbuca,35,3.6,2.0,10,2,23,798,22.8,108.0,28.6
Angina,Ranolazine,35,7.2,9.0,24,3,8,1061,30.3,67.1,68.6
Weight Loss,Fastin,35,7.17,9.0,25,1,9,2354,67.3,80.0,71.4
"Burns, External",Silver Sulfadiazine,35,10.0,10.0,35,0,0,626,17.9,91.3,100.0
Benign Prostatic Hyperplasia,Alfuzosin,35,5.57,6.0,15,11,9,1367,39.1,65.7,42.9
Dry Skin,Emollients,35,6.43,9.0,22,1,12,285,8.1,64.2,62.9
Diabetic Peripheral Neuropathy,Pregabalin,35,6.4,7.0,18,10,7,1635,46.7,70.8,51.4
High Cholesterol,Livalo,35,5.63,7.0,18,4,13,1760,50.3,82.4,51.4
Ankylosing Spondylitis,Humira,35,7.71,9.0,27,1,7,1212,34.6,92.3,77.1
Depression,Seroquel Xr,35,7.31,8.0,23,7,5,1938,55.4,79.2,65.7
Obesity,Tenuate,35,9.23,10.0,33,1,1,2113,60.4,99.0,94.3
Bacterial Vaginitis,Tinidazole,34,7.38,8.0,25,4,5,515,15.1,63.9,73.5
Binge Eating Disorde,Vyvanse,34,7.76,9.0,26,4,4,1138,33.5,114.4,76.5
Pain,Hysingla Er,34,4.18,3.0,11,4,19,1249,36.7,91.7,32.4
High Blood Pressure,Amlodipine / Olmesartan,34,8.74,10.0,29,4,1,940,27.6,70.1,85.3
Endometriosis,Ethinyl Estradiol / Norgestimate,34,6.24,7.0,19,6,9,274,8.1,78.5,55.9
High Blood Pressure,Ramipril,34,6.44,7.0,19,7,8,1418,41.7,66.9,55.9
Osteoporosis,Zoledronic Acid,34,5.44,6.0,16,4,14,2125,62.5,70.8,47.1
Kidney Infections,Ciprofloxacin,34,4.79,5.0,14,5,15,792,23.3,75.7,41.2
Opiate Dependence,Zubsolv,34,6.97,8.0,24,2,8,753,22.1,99.6,70.6
Unknown,Drospirenone / Ethinyl Estradiol,34,5.21,5.0,14,8,12,104,3.1,97.4,41.2
Helicobacter Pylori Infection,Prevpac,34,8.09,9.0,28,5,1,715,21.0,99.1,82.4
Pain,Ms Contin,34,8.53,9.0,31,1,2,2151,63.3,75.0,91.2
Opiate Dependence,Bunavail,34,6.09,8.5,19,2,13,577,17.0,99.7,55.9
"Asthma, Maintenance",Xolair,34,8.32,10.0,28,0,6,1195,35.1,87.7,82.4
Chronic Pain,Dilaudid,33,8.94,10.0,30,1,2,1655,50.2,65.1,90.9
Premature Lab,Makena,33,7.33,9.0,24,1,8,297,9.0,97.0,72.7
Schizoaffective Disorde,Paliperidone,33,6.15,7.0,19,4,10,711,21.5,80.3,57.6
Abnormal Uterine Bleeding,Loestrin 24 Fe,33,6.42,7.0,18,9,6,416,12.6,108.3,54.5
Chronic Pain,Ms Contin,33,8.18,9.0,27,3,3,1767,53.5,76.1,81.8
Chronic Idiopathic Constipation,Plecanatide,33,7.61,10.0,24,2,7,657,19.9,48.4,72.7
Bacterial Skin Infection,Bactrim,33,6.58,8.0,19,8,6,1690,51.2,68.9,57.6
Amenorrhea,Provera,33,7.79,9.0,25,5,3,870,26.4,83.8,75.8
"Gout, Acute",Colchicine,33,7.61,8.0,27,1,5,601,18.2,65.5,81.8
High Blood Pressure,Irbesartan,33,5.09,5.0,11,11,11,1734,52.5,69.3,33.3
Birth Control,Ortho Cyclen,33,6.61,8.0,19,6,8,430,13.0,90.4,57.6
High Blood Pressure,Cozaar,33,6.27,8.0,19,4,10,3562,107.9,55.9,57.6
ge (amlodipine / valsartan),Amlodipine / Valsartan,33,6.06,7.0,17,8,8,963,29.2,44.5,51.5
Alcohol Dependence,Antabuse,33,9.15,10.0,30,2,1,3096,93.8,95.4,90.9
Upper Respiratory Tract Infection,Azithromycin,33,6.88,9.0,23,0,10,785,23.8,76.2,69.7
Anxiety,Tramadol,33,9.45,10.0,33,0,0,2121,64.3,90.3,100.0
Birth Control,Ethinyl Estradiol / Ethynodiol,33,5.91,8.0,18,3,12,160,4.8,89.9,54.5
Seasonal Allergic Conjunctivitis,Olopatadine,33,7.67,9.0,24,4,5,302,9.2,66.3,72.7
High Blood Pressure,Clonidine,33,6.64,8.0,20,4,9,1638,49.6,68.5,60.6
Major Depressive Disorde,Duloxetine,33,7.06,8.0,23,2,8,717,21.7,91.5,69.7
"Diabetes, Type 2",Glimepiride,33,7.67,9.0,27,1,5,1526,46.2,66.8,81.8
Allergic Rhinitis,Loratadine,32,5.62,6.0,16,3,13,497,15.5,40.3,50.0
Bacterial Infection,Sulfamethoxazole / Trimethoprim,32,3.97,3.0,9,5,18,418,13.1,86.3,28.1
Pain,Nucynta Er,32,7.56,8.0,23,6,3,1346,42.1,93.5,71.9
Hashimoto's disease,Armour Thyroid,32,7.94,9.0,25,1,6,3088,96.5,92.9,78.1
"Asthma, Maintenance",Omalizumab,32,8.16,10.0,26,0,6,933,29.2,84.8,81.2
Pain,Cymbalta,32,7.62,9.0,25,3,4,1565,48.9,80.1,78.1
Major Depressive Disorde,Fluoxetine,32,7.72,9.0,25,2,5,855,26.7,95.8,78.1
Melasma,Tri-Luma,32,8.78,10.0,28,1,3,923,28.8,85.0,87.5
Urticaria,Xolair,32,7.97,10.0,25,1,6,952,29.8,99.2,78.1
Diabetic Peripheral Neuropathy,Lyrica,32,6.91,8.0,19,7,6,1604,50.1,67.1,59.4
Bipolar Disorde,Bupropion,32,6.66,9.0,21,3,8,905,28.3,83.8,65.6
Benign Essential Trem,Primidone,32,5.75,6.0,14,10,8,1285,40.2,78.8,43.8
Cold Sores,Penciclovir,32,9.25,10.0,30,0,2,247,7.7,67.9,93.8
Muscle Spasm,Chlorzoxazone,32,6.66,8.0,21,3,8,1311,41.0,74.2,65.6
Breast Cance,Exemestane,32,4.94,5.0,11,10,11,1643,51.3,72.4,34.4
Acne,Retin-A,32,8.28,9.0,27,2,3,1175,36.7,127.3,84.4
"Hypothyroidism, After Thyroid Removal",Synthroid,32,7.5,8.5,22,6,4,2159,67.5,83.1,68.8
Schizoaffective Disorde,Olanzapine,32,5.38,6.0,14,6,12,441,13.8,75.1,43.8
Rosacea,Azelaic Acid,32,8.0,9.0,26,2,4,527,16.5,77.9,81.2
Schizoaffective Disorde,Aripiprazole,32,7.12,9.0,22,3,7,632,19.8,61.9,68.8
Prevention of Thromboembolism in Atrial Fibrillation,Apixaban,32,6.06,7.5,18,5,9,1228,38.4,70.2,56.2
min),Metformin,31,6.97,8.0,22,2,7,2242,72.3,40.9,71.0
Insomnia,Sonata,31,6.74,8.0,22,1,8,1294,41.7,69.1,71.0
Muscle Spasm,Robaxin,31,6.29,8.0,18,3,10,2376,76.6,61.5,58.1
High Blood Pressure,Hydrochlorothiazide / Lisinopril,31,6.97,8.0,19,8,4,1407,45.4,64.0,61.3
emale Infertility,Clomiphene,31,7.32,10.0,22,1,8,2511,81.0,76.7,71.0
Premature Lab,Hydroxyprogesterone,31,6.39,9.0,19,0,12,274,8.8,96.4,61.3
Bipolar Disorde,Topamax,31,6.97,9.0,20,4,7,2343,75.6,78.5,64.5
Edema,Furosemide,31,7.61,8.0,23,6,2,2001,64.5,74.8,74.2
Major Depressive Disorde,Cymbalta,31,5.77,6.0,14,7,10,541,17.5,81.5,45.2
Hirsutism,Vaniqa,31,8.48,10.0,26,1,4,1398,45.1,95.6,83.9
Pain,Duragesic,31,8.23,9.0,29,0,2,1292,41.7,57.9,93.5
Hepatitis C,Sovaldi,31,7.48,10.0,21,4,6,503,16.2,89.0,67.7
Basal Cell Carcinoma,Imiquimod,31,7.39,8.0,22,5,4,974,31.4,79.3,71.0
Seizures,Zonisamide,31,7.1,8.0,22,2,7,811,26.2,65.7,71.0
Irritable Bowel Syndrome,Rifaximin,31,5.87,7.0,16,2,13,1232,39.7,79.2,51.6
Major Depressive Disorde,Wellbutrin,31,7.16,8.0,22,5,4,1371,44.2,96.0,71.0
Bronchitis,Zithromax,30,6.67,8.0,19,3,8,1200,40.0,65.8,63.3
Emergency Contraception,Next Choice,30,7.7,9.0,24,1,5,439,14.6,94.0,80.0
Bipolar Disorde,Sertraline,30,7.43,8.0,22,4,4,427,14.2,72.0,73.3
Asthma,Singulair,30,7.03,8.0,19,6,5,871,29.0,70.0,63.3
Unknown,Tri-Sprintec,30,5.63,7.0,16,5,9,50,1.7,96.8,53.3
Anxiety and Stress,Effexor,30,7.67,8.5,23,5,2,1241,41.4,82.8,76.7
Arrhythmia,Dofetilide,30,7.93,9.0,24,4,2,1740,58.0,76.2,80.0
Diarrhea,Atropine / Diphenoxylate,30,8.2,10.0,25,0,5,1128,37.6,72.1,83.3
Menstrual Disorders,Loestrin 24 Fe,30,5.9,6.5,15,5,10,402,13.4,104.8,50.0
Hirsutism,Eflornithine,30,8.1,9.0,24,3,3,1401,46.7,97.2,80.0
Menstrual Disorders,Tranexamic Acid,30,7.63,9.0,21,3,6,815,27.2,74.9,70.0
Neuralgia,Lyrica,30,7.43,8.0,22,4,4,1055,35.2,70.6,73.3
Renal Cell Carcinoma,Pazopanib,30,8.33,9.0,24,5,1,1183,39.4,93.3,80.0
Restless Legs Syndrome,Clonazepam,30,8.0,9.0,23,5,2,1304,43.5,68.7,76.7
High Cholesterol,Lipitor,30,5.17,5.0,13,5,12,3343,111.4,67.0,43.3
Osteoporosis,Reclast,30,6.13,8.0,16,4,10,2289,76.3,66.9,53.3
Otitis Media,Cefdinir,30,4.33,3.0,8,6,16,319,10.6,64.7,26.7
Muscle Spasm,Valium,30,8.6,9.0,26,3,1,2089,69.6,63.4,86.7
Autism,Risperidone,30,6.33,7.5,17,5,8,1806,60.2,79.5,56.7
Rosacea,Oracea,30,8.43,9.5,26,3,1,783,26.1,63.7,86.7
Irritable Bowel Syndrome,Chlordiazepoxide / Clidinium,30,8.97,10.0,27,2,1,1329,44.3,88.8,90.0
Migraine Prevention,Verapamil,30,8.23,9.0,26,0,4,1259,42.0,81.4,86.7
Pain,Voltaren,30,8.1,9.0,25,1,4,821,27.4,48.4,83.3
Pain,Vicoprofen,30,8.07,9.0,24,2,4,444,14.8,51.8,80.0
Birth Control,Zovia,30,5.67,6.5,15,3,12,161,5.4,91.1,50.0
Eye Redness,Ocular Lubricant,30,7.77,9.5,24,0,6,415,13.8,59.1,80.0
GERD,Prevacid,30,8.47,9.5,25,3,2,860,28.7,56.5,83.3
Asthma,Prednisone,30,7.27,8.0,22,2,6,978,32.6,76.9,73.3
Pneumonia,Moxifloxacin,30,8.33,9.0,27,2,1,604,20.1,72.4,90.0
ibromyalgia,Cyclobenzaprine,29,7.62,9.0,23,1,5,1058,36.5,66.7,79.3
Rosacea,Finacea,29,8.0,9.0,23,2,4,705,24.3,84.8,79.3
Benign Essential Trem,Propranolol,29,6.93,8.0,19,3,7,1049,36.2,88.6,65.5
Epilepsy,Keppra,29,6.28,8.0,18,4,7,714,24.6,77.3,62.1
moterol / mometasone),Formoterol / Mometasone,29,5.9,7.0,15,5,9,494,17.0,69.0,51.7
Allergic Rhinitis,Nasacort,29,6.48,9.0,18,1,10,392,13.5,53.2,62.1
High Cholesterol,Ezetimibe,29,5.0,3.0,11,3,15,1640,56.6,56.2,37.9
Bipolar Disorde,Escitalopram,29,6.93,8.0,18,5,6,696,24.0,62.3,62.1
"Diabetes, Type 2",Glipizide,29,6.72,8.0,16,7,6,1832,63.2,68.4,55.2
Chronic Pain,Fentanyl Transdermal System,29,7.72,8.0,26,2,1,1261,43.5,93.7,89.7
Breast Cance,Arimidex,29,6.07,6.0,13,10,6,3054,105.3,57.9,44.8
Ankylosing Spondylitis,Etanercept,29,8.21,9.0,24,2,3,482,16.6,75.8,82.8
High Cholesterol,Pitavastatin,29,6.07,8.0,17,2,10,1514,52.2,80.3,58.6
Narcolepsy,Methylphenidate,29,7.79,9.0,22,3,4,1126,38.8,75.4,75.9
Menstrual Disorders,Yaz,29,5.45,4.0,13,5,11,129,4.4,93.2,44.8
Narcolepsy,Adderall,29,8.79,10.0,27,1,1,1456,50.2,88.9,93.1
Birth Control,Natazia,29,6.76,8.0,17,4,8,216,7.4,84.2,58.6
Schizoaffective Disorde,Ziprasidone,29,7.28,8.0,20,6,3,474,16.3,73.3,69.0
Osteoarthritis,Mobic,29,8.48,9.0,26,1,2,2622,90.4,58.0,89.7
Psychosis,Haloperidol,29,7.45,8.0,23,1,5,572,19.7,82.7,79.3
Rheumatoid Arthritis,Leflunomide,29,6.93,8.0,19,5,5,1988,68.6,77.3,65.5
Keratosis,Imiquimod,29,7.0,7.0,21,5,3,559,19.3,97.4,72.4
Nasal Congestion,Pseudoephedrine,29,6.86,9.0,20,2,7,582,20.1,50.2,69.0
Deep Vein Thrombosis,Rivaroxaban,29,6.21,7.0,16,4,9,795,27.4,83.1,55.2
Nausea/Vomiting,Reglan,29,4.03,1.0,10,0,19,641,22.1,67.3,34.5
Schizoaffective Disorde,Abilify,29,7.69,9.0,21,3,5,558,19.2,58.6,72.4
Sciatica,Cyclobenzaprine,29,6.66,7.0,18,5,6,1186,40.9,48.3,62.1
Psoriasis,Clobetasol,29,8.66,10.0,24,4,1,665,22.9,70.5,82.8
Generalized Anxiety Disorde,Paxil,28,8.25,9.0,23,4,1,1136,40.6,98.0,82.1
Schizoaffective Disorde,Geodon,28,6.96,8.0,18,6,4,548,19.6,63.8,64.3
Panic Disorde,Prozac,28,8.25,9.0,24,1,3,1928,68.9,104.7,85.7
Pain,Zohydro Er,28,8.5,9.0,24,2,2,1410,50.4,92.4,85.7
Prostatitis,Ciprofloxacin,28,3.96,3.0,6,6,16,411,14.7,72.5,21.4
"Asthma, Maintenance",Qvar,28,5.57,6.5,14,3,11,448,16.0,70.8,50.0
Endometriosis,Depo-Provera,28,6.46,7.5,18,3,7,562,20.1,112.2,64.3
Epilepsy,Depakote,28,7.68,8.0,22,4,2,516,18.4,76.9,78.6
Ankylosing Spondylitis,Adalimumab,28,7.57,9.0,20,3,5,933,33.3,91.5,71.4
Overactive Bladde,Oxytrol,28,7.54,9.0,20,5,3,1419,50.7,70.3,71.4
Bacterial Infection,Augmentin,28,4.57,4.5,10,5,13,619,22.1,44.8,35.7
Premenstrual Dysphoric Disorde,Sertraline,28,8.86,10.0,26,0,2,1343,48.0,106.2,92.9
Bipolar Disorde,Tegretol,28,7.61,9.0,20,5,3,1410,50.4,73.6,71.4
Depression,Zyprexa,28,5.79,6.5,14,5,9,1670,59.6,58.9,50.0
Acne,Tri-Previfem,28,5.68,5.0,12,5,11,337,12.0,96.2,42.9
Neuralgia,Pregabalin,28,8.04,9.0,23,3,2,1052,37.6,78.7,82.1
Diabetic Peripheral Neuropathy,Gabapentin,28,6.68,8.0,18,4,6,673,24.0,70.7,64.3
High Cholesterol,Niacin,28,6.21,6.5,14,8,6,550,19.6,65.5,50.0
Rheumatoid Arthritis,Golimumab,28,7.14,8.5,19,3,6,898,32.1,77.2,67.9
Anxiety and Stress,Fluvoxamine,28,6.11,7.0,15,4,9,965,34.5,95.4,53.6
Birth Control,Microgestin 1 / 20,28,6.96,8.0,17,6,5,196,7.0,88.4,60.7
Keratoconjunctivitis Sicca,Restasis,28,6.0,8.5,15,3,10,806,28.8,87.6,53.6
